,fid,ID_1,COD_SIG,PILOTO,NAME,Descriçã,MORADA,AREA_M2,Uso,Date_Build,ConstrYear,GrossConst,N_StairsAb,Situation,Height,area,perimeter,facade_type,facade_surface,future_avoided,future_impact_low_reuse,future_impact_high_reuse,future_impact_max_reuse,future_impact_no_reuse,future_avoided/m2,reno_avoided,reno_impact_low_reuse,reno_impact_high_reuse,reno_impact_max_reuse,reno_impact_no_reuse,reno_avoided/m2,compacity
0,1,3,4200105056008,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício Manuel Rocha,"Avenida do Brasil, 101",3823.18604094,Research,Between 1946 and 1960,1972,10840,4,Active,12,3823.186040937517,598.2283325534835,concrete wall without insulation,7178.739990641801,303880.122725993,303145.20102172956,205431.78844187415,83879.73935147694,387759.86207746994,19.87086944448553,324790.3565707344,329475.6707090052,223398.1645912532,93482.0219629594,418272.37853369385,21.238199834690676,25.563389982691568
1,2,13,4200105056005,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício Departamento Transportes,"Avenida do Brasil, 101",961.94355043,Research,Between 1946 and 1960,0,2331,2,Active,6,961.9435504300054,152.4694233335697,brick wall without insulation,914.8165400014182,27390.994545059068,29744.608035874302,20692.69562008207,9736.297802058443,37127.29234711751,14.237319088430384,30055.672162775198,33100.00873395311,22982.22527107442,10959.95640596434,41015.628568739536,15.622367939023013,12.618183100561458
2,3,1,4200105056002,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício Arantes e Oliveira,"Avenida do Brasil, 101",5685.05279613,Research,Between 1946 and 1960,1952,17320,5,Active,15,5685.052796127493,631.578476265169,concrete wall without insulation,9473.677143977535,398894.3221205988,398476.62481060723,270165.2137079322,110607.48485969267,509501.8069802915,14.033091210415463,426489.2489055766,433224.5567863738,293875.1749697077,123279.47540747702,549768.7243130537,15.003879970856266,45.00670154046798
3,4,23,4200105056016,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,"Armazéns A, B e C","Avenida do Brasil, 101",7273.02278439,Research,Between 1946 and 1960,0,1024,1,Active,3,7273.022784387111,393.2376187735188,brick wall without insulation,1179.7128563205565,37977.00806130237,40324.550036042616,27855.160860164433,12664.357635643484,50641.365696945846,5.221626438846301,41413.27566919289,44651.548038969406,30807.651819935018,14242.34155225786,55655.61722145074,5.69409403722448,18.495236562244628
4,5,4,4200105056015,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício Ferry Borges,"Avenida do Brasil, 101",816.169663246,Research,Between 1946 and 1960,1995,2586,6,Active,18,816.1696632439707,147.3015472771385,concrete wall without insulation,2651.427850988493,111242.05642759452,111228.17883247684,75436.58624485637,30939.763673818547,142181.8201014131,22.716285072634722,118965.1354719538,120953.19196144647,82072.3677560823,34486.31356730076,153451.44903925457,24.29338343672643,33.24485091974338
5,6,11,4200105056020,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício de Ensaios de Componentes,"Avenida do Brasil, 101",1419.93033303,Research,Between 1946 and 1960,0,2182,3,Active,9,1419.930333027383,172.940281076998,concrete block without insulation,1556.462529692982,29273.079446164324,32264.993451081067,22063.063045074166,10353.831266608435,39626.91071277276,6.87195203999863,33806.74350265404,37973.84897599018,25958.452947387388,12435.755546325767,46242.499048979815,7.936244644367769,24.631572081193845
6,7,10,4200105056013,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,"Edifício do Armazém 2, Infantário e Bar","Avenida do Brasil, 101",1882.08733543,Research,Between 1946 and 1960,0,1825,1,Active,3,1882.08733542636,250.5223803774777,brick wall without insulation,751.5671411324331,24194.25305444053,25689.81648853479,17745.863750906923,8068.16252913071,32262.415583571237,12.85501081644167,26383.417823131083,28446.444511465976,19626.825866361884,9073.458737109453,35456.87656024053,14.018168724940319,7.512651494825099
7,8,2,4200105056004,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício Calouste Gulbenkian,"Avenida do Brasil, 101",3415.89071349,Research,Between 1946 and 1960,1957,8613,3,Active,9,3415.890713495901,642.9273956275026,concrete block without insulation,5786.346560647524,108826.37991053105,119949.1991123001,82022.2308810715,38491.678916859084,147318.0588273901,10.61961959933857,125680.85017238515,141172.59248130553,96503.83614533528,46231.49607638121,171912.34624876635,12.264331689149934,15.939081473528104
8,9,22,4200105056017,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Pavilhão de Modelos Reduzidos,"Avenida do Brasil, 101",3249.51490196,Research,Between 1946 and 1960,0,3262,1,Active,3,3249.514901957475,241.6908868620424,brick wall without insulation,725.0726605861272,23341.349658587675,24784.191021503204,17120.28099695979,7783.7411335247225,31125.090792112394,7.183025886266576,25453.341304342946,27443.641528907425,18934.934846061904,8753.598324324726,34206.93962866767,7.8329664803169035,13.44492108970095
9,10,16,4200105056018,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício de Engenharia Sanitária,"Avenida do Brasil, 101",1131.32948958,Research,Between 1946 and 1960,1992,1890,2,Active,6,1131.329489575892,228.6365546653125,brick wall without insulation,1371.819327991875,41074.35107128015,44603.72809513431,31029.87162850969,14600.13119999763,55674.482271277775,18.153133746442332,45070.18640985488,49635.34189911603,34463.151297061515,16435.07673311956,61505.26314297444,19.919124722271206,9.896313310319831
10,11,5,4200105056014,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício do Armazém 1 e Sala de Atividades,"Avenida do Brasil, 101",694.780912477,Research,Between 1946 and 1960,0,391,2,Active,6,694.780912476941,135.3636268419856,brick wall without insulation,812.1817610519136,24317.953615634175,26407.511320617185,18371.147913004963,8643.966466751293,32961.92008238547,17.500447392068498,26683.67664922619,29386.464071073835,20403.81145002481,9730.340790334332,36414.01743956052,19.202943093308946,10.265400369155897
11,12,7,4200105056007,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício de Madeiras,"Avenida do Brasil, 101",653.521006673,Research,Between 1946 and 1960,0,1176,2,Active,6,653.5210066725267,126.3753681276841,brick wall without insulation,758.2522087661046,22703.22103496201,24654.030350226014,17151.28823449957,8069.999820514768,30773.22085547678,17.369924457777945,24911.85806865592,27435.178131626682,19048.981202422678,9084.237974960308,33996.09604361623,19.059722498806362,10.342537732712456
12,13,12,4200105056003,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifícios Fernando Abecasis,"Avenida do Brasil, 101",1521.65111743,Research,Between 1946 and 1960,0,2539,2,Active,6,1521.651117431466,306.2837494710805,brick wall without insulation,1837.7024968264832,55023.599667248694,59751.58741070264,41567.91743952979,19558.477572630312,74582.077239879,18.080228456106635,60376.45950000487,66491.98613666269,46167.17223238736,22016.588432385415,82393.04793239028,19.83912698791888,9.936218425285245
13,14,15,4200105056012,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício do Refeitório e Outras Instalações de Apoio ao Pessoal,"Avenida do Brasil, 101",1928.47994698,Research,Between 1946 and 1960,1966,2782,2,Active,6,1928.479946974898,240.3766033469836,brick wall without insulation,1442.2596200819016,43183.44024055477,46894.04400716087,32623.196038239243,15349.819942017331,58533.26018257211,11.196237821445862,47384.45406192933,52184.02153208207,36232.76803461062,17278.986409838883,64663.44047176822,12.285441219166785,16.045487956215435
14,15,6,4200105056006,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício Centro de Instrumentação Científica,"Avenida do Brasil, 101",1423.93766765,Research,Between 1946 and 1960,0,2109,2,Active,6,1423.937667653663,175.3496410476809,brick wall without insulation,1052.0978462860853,31501.405045044205,34208.211903469324,23797.930561802164,11197.36854378448,42698.773588828684,11.061370789155626,34565.95565170632,38067.13846799128,26431.036883659275,12604.654622976748,47170.61027468306,12.137453919858848,16.241124408835308
15,16,25,4200105056021,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Pavilhão do Modelo do Cuama - Congressos,"Avenida do Brasil, 101",1865.81865452,Research,Between 1946 and 1960,0,1774,1,Active,3,1865.818654519389,179.0883072360572,brick wall without insulation,537.2649217081716,17295.491994894423,18364.609745462327,12685.799547341929,5767.60274938416,23063.094744278587,9.269653271498592,18860.43725884599,20335.211515900428,14030.423212199405,6486.248308661011,25346.685567507,10.108397840892001,10.418428111337581
